inning,over,ball,batting_team,bowling_team,batter,bowler,city,venue,phase,current_score,balls_bowled,balls_remaining,wickets_lost,current_run_rate,runs_last_6,runs_last_12,wkts_last_12,striker_runs,striker_balls,striker_sr,batter_avg_runs,bowler_wickets,bowler_economy
1,16,4,10,18,64,309,16,42,0,120,103,17,4,6.990291262135922,4.0,15.0,0.0,51,46,110.86956521739133,1.108695652173913,0,9.6
1,5,4,9,18,283,460,16,43,2,26,33,87,2,4.727272727272728,4.0,8.0,1.0,1,1,100.0,1.0,0,5.333333333333333
2,12,6,16,6,30,438,7,37,1,116,78,42,1,8.923076923076923,9.0,19.0,0.0,33,23,143.47826086956522,1.434782608695652,0,10.588235294117649
1,6,5,8,6,185,306,0,50,1,33,40,80,2,4.95,10.0,18.0,0.0,5,8,62.5,0.625,0,12.0
2,3,2,13,8,660,106,23,15,2,54,21,99,1,15.428571428571429,13.0,25.0,1.0,50,14,357.1428571428572,3.571428571428572,0,0.0
1,4,5,6,10,281,135,6,53,2,43,33,87,2,7.818181818181818,19.0,21.0,1.0,2,4,50.0,0.5,1,10.2
2,6,1,3,8,194,21,13,22,1,54,36,84,0,9.0,6.0,18.0,0.0,20,18,111.11111111111111,1.1111111111111112,0,0.0
2,12,3,16,1,132,513,16,42,1,85,74,46,3,6.891891891891891,5.0,17.0,1.0,3,4,75.0,0.75,1,8.571428571428571
1,15,1,16,0,141,201,34,49,0,118,92,28,1,7.695652173913043,4.0,7.0,1.0,57,44,129.54545454545453,1.2954545454545454,0,6.947368421052632
1,12,2,0,8,374,121,6,53,1,99,77,43,2,7.7142857142857135,8.0,15.0,0.0,5,7,71.42857142857143,0.7142857142857143,1,5.142857142857142
1,5,6,0,8,510,521,23,14,2,15,35,85,2,2.571428571428572,4.0,7.0,1.0,0,0,0.0,0.0,1,3.6
2,15,5,5,0,651,470,26,56,0,112,97,23,3,6.927835051546391,6.0,9.0,0.0,55,48,114.58333333333331,1.1458333333333333,0,7.411764705882352
