iter	MultiClass
0	1.752235458
1	1.717913642
2	1.688194389
3	1.661553894
4	1.637998377
5	1.617109616
6	1.598283586
7	1.581757534
8	1.56647193
9	1.552780246
10	1.540308616
11	1.528955601
12	1.518671571
13	1.509235678
14	1.500683979
15	1.493001482
16	1.485907522
17	1.479375799
18	1.473436757
19	1.468009311
20	1.463087014
21	1.458534404
22	1.454311647
23	1.450488488
24	1.446908925
25	1.443687689
26	1.440715814
27	1.437999983
28	1.435445133
29	1.433095674
30	1.430960792
31	1.428940583
32	1.42708184
33	1.425376518
34	1.423806979
35	1.42234752
36	1.420941632
37	1.419779928
38	1.418585564
39	1.417424045
40	1.416363394
41	1.415456188
42	1.414532726
43	1.413675864
44	1.412935681
45	1.412285938
46	1.411564337
47	1.41096902
48	1.410367368
49	1.409828032
50	1.409240807
51	1.408669034
52	1.408207805
53	1.407758118
54	1.407254924
55	1.406813969
56	1.406339754
57	1.405962935
58	1.405576191
59	1.405209751
60	1.404802278
61	1.404441002
62	1.404120034
63	1.403829131
64	1.403546628
65	1.403176061
66	1.402875824
67	1.402700516
68	1.402495541
69	1.402224699
70	1.401986556
71	1.401734711
72	1.40149384
73	1.401299143
74	1.401140516
75	1.40099845
76	1.400797079
77	1.400513391
78	1.400280399
79	1.400061768
80	1.399889547
81	1.399715733
82	1.399525284
83	1.399405683
84	1.399300886
85	1.399075521
86	1.398835999
87	1.398660047
88	1.398432776
89	1.398322298
90	1.398142978
91	1.397913938
92	1.397716634
93	1.397497977
94	1.397374505
95	1.397121781
96	1.396989956
97	1.396842707
98	1.396694676
99	1.396528809
100	1.396393182
101	1.396205282
102	1.396057501
103	1.395901128
104	1.39572203
105	1.395558888
106	1.395415108
107	1.395195662
108	1.39500386
109	1.394854495
110	1.394725021
111	1.394594918
112	1.394411688
113	1.394244347
114	1.394043336
115	1.393872452
116	1.393691387
117	1.393540311
118	1.393430222
119	1.393326358
120	1.393188872
121	1.393100036
122	1.392991322
123	1.392791632
124	1.392632968
125	1.392463204
126	1.392287152
127	1.392132517
128	1.391920625
129	1.391768292
130	1.391625785
131	1.391403185
132	1.391314923
133	1.391175109
134	1.391050848
135	1.390887593
136	1.390791653
137	1.390532561
138	1.390322753
139	1.390169546
140	1.390035353
141	1.389894968
142	1.38971444
143	1.389625201
144	1.389445502
145	1.389336386
146	1.389189771
147	1.389006178
148	1.3888336
149	1.388596198
150	1.388459837
151	1.388333186
152	1.388187913
153	1.38807263
154	1.387957431
155	1.387762247
156	1.387566716
157	1.387466267
158	1.387286318
159	1.387148473
160	1.387043749
161	1.386854883
162	1.386782431
163	1.386687231
164	1.38662031
165	1.386468798
166	1.386366684
167	1.386176566
168	1.38603432
169	1.385869993
170	1.385728043
171	1.385600334
172	1.385386936
173	1.385249325
174	1.385066415
175	1.384908039
176	1.384779472
177	1.384684582
178	1.384528573
179	1.384498831
180	1.384398437
181	1.384196795
182	1.384124451
183	1.384015838
184	1.383901149
185	1.383764132
186	1.383640044
187	1.383464851
188	1.383346218
189	1.383161248
190	1.38300759
191	1.382811171
192	1.382752751
193	1.382550603
194	1.382424663
195	1.382313917
196	1.382194362
197	1.382080581
198	1.381958396
199	1.381822008
200	1.381703665
201	1.3815846
202	1.381475163
203	1.381313189
204	1.381221698
205	1.381032865
206	1.380843851
207	1.38071747
208	1.380527418
209	1.380408098
210	1.38030106
211	1.380229208
212	1.380004849
213	1.379793503
214	1.379607674
215	1.379531534
216	1.379334479
217	1.379219127
218	1.379087208
219	1.378900607
220	1.378738801
221	1.378653725
222	1.378608645
223	1.378502392
224	1.37842002
225	1.378283375
226	1.378181687
227	1.378109484
228	1.378063125
229	1.37787355
230	1.377724266
231	1.377540869
232	1.377422189
233	1.377285018
234	1.377122972
235	1.376957417
236	1.376705707
237	1.376595372
238	1.376442812
239	1.376310007
240	1.376143796
241	1.376001942
242	1.3759309
243	1.375797818
244	1.375695946
245	1.375611567
246	1.37539692
247	1.375266293
248	1.375044356
249	1.37495728
250	1.374794027
251	1.374641576
252	1.374488602
253	1.374288425
254	1.374156223
255	1.37402942
256	1.37384181
257	1.373709126
258	1.373539034
259	1.373482073
260	1.373352471
261	1.373238403
262	1.37311538
263	1.372997495
264	1.372855857
265	1.372744207
266	1.372576884
267	1.372405478
268	1.372279188
269	1.372159942
270	1.371992128
271	1.371908197
272	1.371788968
273	1.37171195
274	1.371607586
275	1.371466326
276	1.371254352
277	1.371143944
278	1.370940816
279	1.370820477
280	1.370677127
281	1.37053895
282	1.370386872
283	1.370250732
284	1.37012516
285	1.369987475
286	1.369807674
287	1.369719044
288	1.369551385
289	1.369465041
290	1.369331077
291	1.369178548
292	1.369058758
293	1.368873462
294	1.368775786
295	1.368682248
296	1.368536902
297	1.368394573
298	1.368275835
299	1.368123033
300	1.36799829
301	1.367858148
302	1.367692637
303	1.367572148
304	1.367459001
305	1.3673227
306	1.367204536
307	1.367080316
308	1.36692652
309	1.366854424
310	1.366730219
311	1.366577266
312	1.366431819
313	1.366303033
314	1.366162167
315	1.365999626
316	1.365851068
317	1.365647051
318	1.365545699
319	1.365428259
320	1.365276405
321	1.365153535
322	1.365057242
323	1.3649321
324	1.364799483
325	1.364648859
326	1.364482967
327	1.364363837
328	1.364244977
329	1.364128869
