iter	Passed	Remaining
0	674	336468
1	1283	319592
2	1899	314611
3	2360	292662
4	2898	286989
5	3408	280666
6	3881	273388
7	4615	283870
8	5109	278764
9	5610	274909
10	6087	270600
11	6578	267541
12	7049	264100
13	7516	260920
14	8034	259770
15	8512	257506
16	8958	254514
17	9555	255881
18	10013	253495
19	10443	250635
20	10864	247807
21	11285	245201
22	11729	243268
23	12158	241144
24	12583	239078
25	13042	237776
26	13515	236773
27	14506	244530
28	14981	243324
29	15420	241594
30	15849	239785
31	16336	238921
32	16821	238048
33	17398	238460
34	17891	237704
35	18407	237246
36	18854	235931
37	19286	234482
38	19753	233492
39	20172	231981
40	20575	230345
41	20997	228976
42	21415	227599
43	21868	226632
44	22291	225391
45	22715	224193
46	23137	223010
47	23556	221824
48	24008	220977
49	24438	219947
50	24850	218778
51	25270	217717
52	25699	216745
53	26130	215820
54	26571	214985
55	26999	214065
56	27450	213346
57	27888	212530
58	28320	211686
59	28747	210818
60	29163	209882
61	29599	209104
62	30038	208360
63	30457	207492
64	30901	206804
65	31405	206516
66	31911	206233
67	32462	206233
68	33073	206586
69	33757	207368
70	34248	206939
71	34697	206255
72	35166	205699
73	35684	205424
74	36136	204775
75	36579	204073
76	37055	203565
77	37590	203373
78	38563	205509
79	39097	205262
80	39568	204680
81	40038	204100
82	40516	203560
83	40982	202961
84	41501	202623
85	42087	202609
86	42650	202465
87	43238	202433
88	43904	202749
89	44738	203808
90	45479	204409
91	46109	204483
92	46613	203995
93	47104	203453
94	47701	203360
95	48477	204009
96	57351	238274
97	63228	259366
98	68766	278538
99	69336	277346
100	69897	276129
101	70471	274975
102	71099	274044
103	71793	273369
104	72516	272800
105	73291	272423
106	73740	270841
107	74225	269412
108	74709	267994
109	75168	266506
110	75618	265006
111	76079	263561
112	76559	262198
113	77003	260731
114	77463	259334
115	77957	258065
116	79044	258751
117	79640	257817
118	80117	256512
119	80563	255118
120	81020	253775
121	81464	252407
122	81941	251155
123	82421	249923
124	82901	248703
125	83356	247423
126	83887	246377
127	84664	246056
128	85192	245009
129	85705	243931
130	86230	242894
131	86798	241982
132	87464	241349
133	87941	240198
134	88402	239014
135	88866	237848
136	89316	236657
137	89796	235552
138	90266	234433
139	90735	233320
140	91189	232178
141	91662	231093
142	92117	229970
143	92571	228857
144	93194	228166
145	94369	228814
146	94962	228038
147	95414	226932
148	95876	225856
149	96365	224851
150	96822	223781
151	97276	222712
152	97754	221703
153	98234	220707
154	98709	219709
155	99187	218720
156	99695	217806
157	100251	217000
158	100815	216213
159	101352	215373
160	101872	214502
161	102346	213538
162	102821	212581
163	103274	211586
164	103752	210649
165	104305	209867
166	104848	209069
167	105389	208269
168	105882	207378
169	106405	206551
170	106980	205827
171	107533	205064
172	108396	204888
173	108902	204036
174	109401	203173
175	109875	202271
176	110317	201313
177	110782	200405
178	111251	199506
179	111682	198547
180	112183	197716
181	112635	196803
182	113073	195870
183	113796	195433
184	114547	195040
185	115044	194215
186	115471	193276
187	115905	192353
188	116332	191425
189	116793	190557
190	117415	189954
191	117905	189140
192	118332	188228
193	118765	187331
194	119192	186429
195	119620	185533
196	120047	184641
197	120490	183778
198	120968	182971
199	121392	182088
200	121850	181259
201	122302	180426
202	122723	179550
203	123137	178669
204	123565	177813
205	124008	176983
206	124557	176305
207	124987	175463
208	125514	174760
209	125941	173919
210	126364	173076
211	126849	172323
212	127460	171743
213	127999	171064
214	128444	170263
215	129023	169641
216	129488	168872
217	129945	168094
218	130402	167320
219	130850	166537
220	131286	165741
221	131701	164923
222	132108	164098
223	132562	163335
224	133029	162592
225	133444	161786
226	133865	160992
227	134280	160193
228	134735	159447
229	135211	158727
230	135702	158025
231	136180	157311
232	136637	156576
233	137108	155858
234	137581	155144
235	138044	154422
236	138556	153756
237	139021	153040
238	139484	152324
239	139952	151615
240	140413	150900
241	140881	150195
242	141281	149421
243	141718	148688
244	142155	147958
245	142591	147228
246	143146	146623
247	143685	146003
248	144348	145507
249	144828	144828
250	145389	144230
251	145938	143622
252	146420	142948
253	146889	142263
254	147350	141572
255	147822	140893
256	148296	140217
257	148989	139749
258	149732	139326
259	150200	138646
260	150719	138015
261	151194	137344
262	151733	136733
263	152220	136075
264	152739	135448
265	153224	134791
266	153681	134111
267	154156	133448
268	154654	132807
269	155121	132140
270	155646	131523
271	156107	130855
272	156599	130212
273	157080	129562
274	157550	128905
275	158036	128261
276	158532	127627
277	159417	127304
278	160026	126759
279	160557	126152
280	161026	125497
281	161505	124851
282	161965	124192
283	162433	123541
284	162913	122899
285	163387	122255
286	163837	121593
287	164297	120940
288	164795	120317
289	165258	119669
290	165795	119076
291	166284	118449
292	166761	117814
293	167284	117213
294	167794	116602
295	168315	116001
296	168837	115401
297	169313	114769
298	169772	114128
299	170251	113501
300	170724	112871
301	171189	112236
302	171650	111601
303	172141	110985
304	172599	110350
305	173104	109746
306	173584	109126
307	174774	108950
308	175533	108501
309	176136	107954
310	176751	107414
311	177217	106784
312	177666	106146
313	178154	105531
314	178620	104903
315	179090	104280
316	179604	103683
317	180124	103090
318	180631	102489
319	181093	101865
320	181567	101247
321	182034	100627
322	182507	100011
323	183006	99411
324	183493	98804
325	183985	98200
326	184512	97616
327	185056	97042
328	185662	96499
329	186170	95905
330	186626	95286
331	187100	94677
332	187558	94060
333	188019	93446
334	188467	92827
335	188931	92216
336	189371	91595
337	189829	90983
338	190295	90376
339	190770	89774
340	191200	89152
341	191608	88521
342	192032	87898
343	192453	87275
344	192859	86646
345	193313	86041
346	193722	85416
347	194150	84801
348	194553	84176
349	194971	83559
350	195403	82948
351	195881	82359
352	196384	81780
353	196873	81196
354	197338	80603
355	197805	80011
356	198266	79417
357	198728	78825
358	199181	78230
359	199654	77643
360	200088	77042
361	200554	76454
362	201005	75861
363	201459	75270
364	201897	74674
365	202312	74070
366	202738	73471
367	203152	72869
368	203606	72283
369	204012	71680
370	204466	71094
371	204897	70502
372	205321	69908
373	205768	69322
374	206195	68731
375	206618	68140
376	207059	67555
377	207524	66978
378	207953	66391
379	208376	65803
380	208804	65217
381	209224	64629
382	209655	64046
383	210067	63457
384	210479	62870
385	210892	62284
386	211305	61699
387	211730	61117
388	212155	60538
389	212593	59962
390	213043	59390
391	213496	58820
392	213914	58241
393	214328	57662
394	214747	57084
395	215157	56505
